"edge_id","telemetry_received","ingress_queue_capacity","max_ingress_queue_depth","max_ingress_queue_utilization_pct","ingress_accepted","ingress_queue_dropped","invalid_telemetry","out_of_order_dropped","post_eos_dropped","processed","aggregates_emitted","end_of_replay_processed"
"edge-0","124410","1000","517","51,7","124410","0","0","0","0","124410","8124","1"
"edge-1","171649","1000","1000","100","171640","9","0","0","0","171640","8124","1"
"edge-2","189420","1000","879","87,9","189420","0","0","0","0","189420","8124","1"
"edge-3","145178","1000","860","86","145178","0","0","0","0","145178","8124","1"
"edge-4","133862","1000","529","52,9","133862","0","0","0","0","133862","8124","1"
"edge-5","145501","1000","693","69,3","145501","0","0","0","0","145501","8124","1"
"edge-6","160171","1000","846","84,6","160171","0","0","0","0","160171","8124","1"
"edge-7","149836","1000","885","88,5","149836","0","0","0","0","149836","8124","1"
"edge-8","221171","1000","1000","100","220847","324","0","0","0","220847","8116","1"
"edge-9","155365","1000","740","74","155365","0","0","0","0","155365","8124","1"
"edge-10","167737","1000","570","57","167737","0","0","0","0","167737","8124","1"
"edge-11","196973","1000","1000","100","196892","81","0","0","0","196892","8118","1"
"edge-12","145511","1000","829","82,9","145511","0","0","0","0","145511","8124","1"
