"timestamp_utc","group","topic","partition","current_offset","log_end_offset","lag"
"2026-09-06T19:20:28.7503964Z","cloud-workers","edge-aggregates","0","278","889","611"
"2026-09-06T19:20:28.7503964Z","cloud-workers","edge-aggregates","1","287","1335","1048"
"2026-09-06T19:20:28.7503964Z","cloud-workers","edge-aggregates","2","289","1335","1046"
"2026-09-06T19:20:28.7503964Z","cloud-workers","edge-aggregates","3","273","888","615"
"2026-09-06T19:20:28.7503964Z","cloud-workers","edge-aggregates","4","283","890","607"
"2026-09-06T19:20:28.7503964Z","cloud-workers","edge-aggregates","5","266","444","178"
"2026-09-06T19:20:28.7503964Z","global-aggregator","cloud-edge-aggregates","0","1293","1301","8"
"2026-09-06T19:20:37.4482234Z","cloud-workers","edge-aggregates","0","1306","2554","1248"
"2026-09-06T19:20:37.4482234Z","cloud-workers","edge-aggregates","1","1315","3831","2516"
"2026-09-06T19:20:37.4482234Z","cloud-workers","edge-aggregates","2","1317","3831","2514"
"2026-09-06T19:20:37.4482234Z","cloud-workers","edge-aggregates","3","1300","2554","1254"
"2026-09-06T19:20:37.4482234Z","cloud-workers","edge-aggregates","4","1311","2554","1243"
"2026-09-06T19:20:37.4482234Z","cloud-workers","edge-aggregates","5","1250","1277","27"
"2026-09-06T19:20:37.4482234Z","global-aggregator","cloud-edge-aggregates","0","3451","3465","14"
"2026-09-06T19:20:45.6552416Z","cloud-workers","edge-aggregates","0","2525","4442","1917"
"2026-09-06T19:20:45.6552416Z","cloud-workers","edge-aggregates","1","2534","6652","4118"
"2026-09-06T19:20:45.6552416Z","cloud-workers","edge-aggregates","2","2536","6663","4127"
"2026-09-06T19:20:45.6552416Z","cloud-workers","edge-aggregates","3","2519","4441","1922"
"2026-09-06T19:20:45.6552416Z","cloud-workers","edge-aggregates","4","2530","4442","1912"
"2026-09-06T19:20:45.6552416Z","cloud-workers","edge-aggregates","5","2037","2220","183"
"2026-09-06T19:20:45.6552416Z","global-aggregator","cloud-edge-aggregates","0","5580","5585","5"
"2026-09-06T19:20:55.2736752Z","cloud-workers","edge-aggregates","0","3667","6209","2542"
"2026-09-06T19:20:55.2736752Z","cloud-workers","edge-aggregates","1","3676","9305","5629"
"2026-09-06T19:20:55.2736752Z","cloud-workers","edge-aggregates","2","3678","9315","5637"
"2026-09-06T19:20:55.2736752Z","cloud-workers","edge-aggregates","3","3661","6210","2549"
"2026-09-06T19:20:55.2736752Z","cloud-workers","edge-aggregates","4","3672","6210","2538"
"2026-09-06T19:20:55.2736752Z","cloud-workers","edge-aggregates","5","3087","3105","18"
