"edge_id","status","offered_events","telemetry_enqueued","telemetry_locally_dropped","queue_capacity","mqtt_publish_attempts","mqtt_publish_errors","avg_scheduling_lag_ms","max_scheduling_lag_ms","offer_duration_seconds","drain_duration_seconds","throughput_events_per_second","eos_successes","eos_failures"
"edge-0","completato","124410","124410","0","1000","124410","0",,"15,815064","83,375587","0,002252","1492,15","1","0"
"edge-1","completato","171649","171649","0","1000","171649","0",,"29,703086","83,375633",,"2058,73","1","0"
"edge-2","completato","189420","189420","0","1000","189420","0",,"16,294412","83,377622","0,001044","2271,82","1","0"
"edge-3","completato","145178","145178","0","1000","145178","0",,"15,265159","83,375808",,"1741,24","1","0"
"edge-4","completato","133862","133862","0","1000","133862","0",,"24,669992","83,379053","0,001754","1605,45","1","0"
"edge-5","completato","145501","145501","0","1000","145501","0",,"33,404335","83,375519",,"1745,12","1","0"
"edge-6","completato","160171","160171","0","1000","160171","0",,"38,588371","83,375396",,"1921,07","1","0"
"edge-7","completato","149836","149836","0","1000","149836","0",,"15,316674","83,374894",,"1797,12","1","0"
"edge-8","completato","221171","221171","0","1000","221171","0",,"20,407689","83,382575","0,002142","2652,47","1","0"
"edge-9","completato","155365","155365","0","1000","155365","0",,"23,491103","83,373813",,"1863,46","1","0"
"edge-10","completato","167737","167737","0","1000","167737","0",,"24,429736","83,374541",,"2011,84","1","0"
"edge-11","completato","196973","196973","0","1000","196973","0",,"25,587811","83,381334","0,001148","2362,3","1","0"
"edge-12","completato","145511","145511","0","1000","145511","0",,"28,314518","83,38229",,"1745,09","1","0"
