"container","samples","cpu_avg_pct","cpu_max_pct","memory_avg_mib","memory_max_mib"
"cloud-worker-0","16","20,3025","54,28","10,836688","14,08"
"edge-0","16","7,076875","19,07","7,32625","11,75"
"edge-1","16","7,985625","23,3","8,029875","11,69"
"edge-10","16","7,55125","20,09","7,918375","13,88"
"edge-11","16","9,239375","23,96","8,646312","11,56"
"edge-12","16","6,605","21,55","7,561313","9,812"
"edge-2","16","7,956875","22,49","9,443812","13,74"
"edge-3","16","6,98","17,65","8,619625","12,16"
"edge-4","16","7,251875","19,38","7,330125","11,51"
"edge-5","16","7,054375","19,46","8,037","11,64"
"edge-6","16","7,655","21,1","8,66","11,74"
"edge-7","16","8,145625","21,68","7,299062","9,766"
"edge-8","16","9,275625","25,2","7,469125","12,16"
"edge-9","16","7,75875","20,77","8,075875","12,14"
"global-aggregator","15","14,79","47,41","9,437067","13,48"
"kafka","16","113,3675","310,11","708,0125","1004"
"kafka-init","1","128,29","128,29","10,61","10,61"
"mqtt-edge-0","16","2,2075","6,35","2,6515","2,668"
"mqtt-edge-1","16","2,699375","7,69","2,634","2,641"
"mqtt-edge-10","16","2,635625","8,08","2,646563","2,668"
"mqtt-edge-11","16","2,98375","10,19","2,638","2,645"
"mqtt-edge-12","16","2,4575","8,06","2,647688","2,656"
"mqtt-edge-2","16","2,989375","9,87","2,63925","2,645"
"mqtt-edge-3","16","2,659375","8,47","2,65275","2,812"
"mqtt-edge-4","16","2,290625","6,73","2,646188","2,652"
"mqtt-edge-5","16","2,470625","7,2","2,643125","2,648"
"mqtt-edge-6","16","3,095625","8,85","2,664","2,816"
"mqtt-edge-7","16","2,430625","7,38","2,63375","2,637"
"mqtt-edge-8","16","3,425","10,42","2,646688","2,652"
"mqtt-edge-9","16","2,683125","8,04","2,643125","2,648"
"simulator-edge-0","10","6,929","12,33","7,7991","11,3"
"simulator-edge-1","10","8,945","15,86","8,2153","11,54"
"simulator-edge-10","10","8,639","16,3","8,275","11,69"
"simulator-edge-11","10","10,01","20,8","7,4674","11,29"
"simulator-edge-12","10","8,321","17,76","8,4785","11,25"
"simulator-edge-2","10","9,899","19,7","8,2809","11,28"
"simulator-edge-3","10","7,777","14,8","8,2719","11,34"
"simulator-edge-4","10","7,636","14,66","8,0752","10,84"
"simulator-edge-5","10","7,924","15,02","7,2558","9,355"
"simulator-edge-6","10","8,504","15,83","7,4188","11,3"
"simulator-edge-7","10","7,009","14,46","7,8522","11,04"
"simulator-edge-8","10","11,05","19,37","8,4353","11,53"
"simulator-edge-9","10","7,869","14,66","8,4545","11,39"
