"container","samples","cpu_avg_pct","cpu_max_pct","memory_avg_mib","memory_max_mib"
"cloud-worker-0","7","3,435714","4,88","8,814571","9,23"
"cloud-worker-1","7","6,344286","12,17","8,670143","9,508"
"cloud-worker-2","7","6,268571","14,63","10,588286","11,44"
"cloud-worker-3","7","6,742857","14,37","9,336714","11,09"
"cloud-worker-4","7","7,67","12,16","10,791714","11,39"
"cloud-worker-5","7","6,212857","13,78","10,515286","11,25"
"edge-0","7","14,534286","19,64","10,337714","11,49"
"edge-1","7","14,115714","19,81","8,949857","10,49"
"edge-10","7","14,787143","20,57","9,376714","10,72"
"edge-11","7","16,792857","23,93","9,383429","10,83"
"edge-12","7","13,652857","18,65","10,352286","11,68"
"edge-2","7","16,547143","22,36","9,501857","10,4"
"edge-3","7","13,361429","19,98","10,138571","14,31"
"edge-4","7","13,278571","17,74","9,498429","10,44"
"edge-5","7","13,332857","19,07","11,133429","14,07"
"edge-6","7","13,152857","18,68","10,544714","11,7"
"edge-7","7","14,354286","21,44","10,356571","11,55"
"edge-8","7","16,651429","22,43","10,198857","12,55"
"edge-9","7","13,498571","19,27","11,611857","13,77"
"global-aggregator","6","16,35","25,68","10,997833","12,36"
"kafka","7","135,052857","239,7","860,271429","1004"
"mqtt-edge-0","7","5,232857","6,21","2,648714","2,652"
"mqtt-edge-1","7","6,154286","7,73","2,654857","2,676"
"mqtt-edge-10","7","6,281429","7,48","2,655","2,66"
"mqtt-edge-11","7","8,034286","9,98","2,658429","2,664"
"mqtt-edge-12","7","6,314286","7,7","2,645857","2,648"
"mqtt-edge-2","7","7,002857","10,86","2,651","2,656"
"mqtt-edge-3","7","5,447143","6,83","2,647","2,652"
"mqtt-edge-4","7","4,957143","5,53","2,645857","2,652"
"mqtt-edge-5","7","6,057143","9,2","2,649857","2,656"
"mqtt-edge-6","7","5,958571","7,24","2,634714","2,641"
"mqtt-edge-7","7","5,74","7,51","2,652714","2,66"
"mqtt-edge-8","7","7,558571","9,59","2,638714","2,641"
"mqtt-edge-9","7","5,974286","6,97","2,644","2,648"
"simulator-edge-0","6","11,645","14,72","8,798167","9,086"
"simulator-edge-1","6","13,615","15,74","10,6865","11,45"
"simulator-edge-10","6","13,898333","15,27","9,028","9,996"
"simulator-edge-11","6","16,213333","18,24","10,632","11,48"
"simulator-edge-12","6","12,55","13,64","10,574167","11,27"
"simulator-edge-2","6","15,331667","18,09","10,648333","10,91"
"simulator-edge-3","6","12,466667","14,01","10,4825","11,16"
"simulator-edge-4","6","12,098333","13,67","10,585667","11,14"
"simulator-edge-5","6","12,343333","14,35","10,642333","11,34"
"simulator-edge-6","6","13,448333","14,28","10,412667","11,04"
"simulator-edge-7","6","12,353333","14,08","10,329","10,89"
"simulator-edge-8","6","17,261667","19,95","9,128167","9,324"
"simulator-edge-9","6","13,105","15,19","10,348","11,49"
