"timestamp_utc","group","topic","partition","current_offset","log_end_offset","lag"
"2026-09-06T22:01:13.1691168Z","cloud-workers","edge-aggregates","0","504","1848","1344"
"2026-09-06T22:01:13.1691168Z","cloud-workers","edge-aggregates","1","513","2676","2163"
"2026-09-06T22:01:13.1691168Z","cloud-workers","edge-aggregates","2","461","2664","2203"
"2026-09-06T22:01:13.1691168Z","cloud-workers","edge-aggregates","3","520","1831","1311"
"2026-09-06T22:01:13.1691168Z","cloud-workers","edge-aggregates","4","606","1844","1238"
"2026-09-06T22:01:13.1691168Z","cloud-workers","edge-aggregates","5","625","897","272"
"2026-09-06T22:01:13.1691168Z","global-aggregator","cloud-edge-aggregates","0","2249","2309","60"
"2026-09-06T22:01:25.1816461Z","cloud-workers","edge-aggregates","0","2193","5010","2817"
"2026-09-06T22:01:25.1816461Z","cloud-workers","edge-aggregates","1","2303","7494","5191"
"2026-09-06T22:01:25.1816461Z","cloud-workers","edge-aggregates","2","2004","7509","5505"
"2026-09-06T22:01:25.1816461Z","cloud-workers","edge-aggregates","3","2301","5002","2701"
"2026-09-06T22:01:25.1816461Z","cloud-workers","edge-aggregates","4","2607","5020","2413"
"2026-09-06T22:01:25.1816461Z","cloud-workers","edge-aggregates","5","2478","2493","15"
"2026-09-06T22:01:25.1816461Z","global-aggregator","cloud-edge-aggregates","0","5844","6963","1119"
"2026-09-06T22:01:36.1158963Z","cloud-workers","edge-aggregates","0","5348","7798","2450"
"2026-09-06T22:01:36.1158963Z","cloud-workers","edge-aggregates","1","4920","11656","6736"
"2026-09-06T22:01:36.1158963Z","cloud-workers","edge-aggregates","2","4614","11701","7087"
"2026-09-06T22:01:36.1158963Z","cloud-workers","edge-aggregates","3","5887","7787","1900"
"2026-09-06T22:01:36.1158963Z","cloud-workers","edge-aggregates","4","5849","7816","1967"
"2026-09-06T22:01:36.1158963Z","cloud-workers","edge-aggregates","5","3856","3873","17"
"2026-09-06T22:01:36.1158963Z","global-aggregator","cloud-edge-aggregates","0","9934","12017","2083"
"2026-09-06T22:01:46.8350499Z","cloud-workers","edge-aggregates","0","8825","10690","1865"
"2026-09-06T22:01:46.8350499Z","cloud-workers","edge-aggregates","1","8034","15968","7934"
"2026-09-06T22:01:46.8350499Z","cloud-workers","edge-aggregates","2","7691","16028","8337"
"2026-09-06T22:01:46.8350499Z","cloud-workers","edge-aggregates","3","9444","10659","1215"
"2026-09-06T22:01:46.8350499Z","cloud-workers","edge-aggregates","4","9484","10698","1214"
"2026-09-06T22:01:46.8350499Z","cloud-workers","edge-aggregates","5","5300","5317","17"
"2026-09-06T22:01:46.8350499Z","global-aggregator","cloud-edge-aggregates","0","14867","18341","3474"
"2026-09-06T22:01:57.5446306Z","cloud-workers","edge-aggregates","0","12129","13772","1643"
"2026-09-06T22:01:57.5446306Z","cloud-workers","edge-aggregates","1","10945","20639","9694"
"2026-09-06T22:01:57.5446306Z","cloud-workers","edge-aggregates","2","10452","20655","10203"
"2026-09-06T22:01:57.5446306Z","cloud-workers","edge-aggregates","3","13229","13765","536"
"2026-09-06T22:01:57.5446306Z","cloud-workers","edge-aggregates","4","13110","13775","665"
"2026-09-06T22:01:57.5446306Z","cloud-workers","edge-aggregates","5","6852","6865","13"
"2026-09-06T22:01:57.5446306Z","global-aggregator","cloud-edge-aggregates","0","19556","25099","5543"
"2026-09-06T22:02:08.2890588Z","cloud-workers","edge-aggregates","0","16084","16250","166"
"2026-09-06T22:02:08.2890588Z","cloud-workers","edge-aggregates","1","15895","24371","8476"
"2026-09-06T22:02:08.2890588Z","cloud-workers","edge-aggregates","2","15260","24375","9115"
"2026-09-06T22:02:08.2890588Z","cloud-workers","edge-aggregates","3","16168","16250","82"
"2026-09-06T22:02:08.2890588Z","cloud-workers","edge-aggregates","4","16085","16250","165"
"2026-09-06T22:02:08.2890588Z","cloud-workers","edge-aggregates","5","8103","8118","15"
"2026-09-06T22:02:08.2890588Z","global-aggregator","cloud-edge-aggregates","0","26878","31940","5062"
"2026-09-06T22:02:18.2793468Z","cloud-workers","edge-aggregates","0","16250","16250","0"
"2026-09-06T22:02:18.2793468Z","cloud-workers","edge-aggregates","1","24371","24371","0"
"2026-09-06T22:02:18.2793468Z","cloud-workers","edge-aggregates","2","24375","24375","0"
"2026-09-06T22:02:18.2793468Z","cloud-workers","edge-aggregates","3","16250","16250","0"
"2026-09-06T22:02:18.2793468Z","cloud-workers","edge-aggregates","4","16250","16250","0"
"2026-09-06T22:02:18.2793468Z","cloud-workers","edge-aggregates","5","8125","8125","0"
"2026-09-06T22:02:18.2793468Z","global-aggregator","cloud-edge-aggregates","0","35243","35243","0"
