"timestamp_utc","container","cpu_pct","memory_used_mib","memory_usage","net_io","block_io","pids"
"2026-09-06T22:00:43.2076946Z","cloud-worker-0","0","6,941","6.941MiB / 15.18GiB","3.85kB / 658B","0B / 0B","9"
"2026-09-06T22:00:43.2076946Z","cloud-worker-1","0","6,961","6.961MiB / 15.18GiB","4.56kB / 1.39kB","0B / 0B","9"
"2026-09-06T22:00:43.2076946Z","cloud-worker-2","0","4,906","4.906MiB / 15.18GiB","4.48kB / 1.39kB","0B / 0B","8"
"2026-09-06T22:00:43.2076946Z","cloud-worker-3","0,34","7,031","7.031MiB / 15.18GiB","10.3kB / 6.89kB","0B / 0B","11"
"2026-09-06T22:00:43.2076946Z","cloud-worker-4","0,12","9,113","9.113MiB / 15.18GiB","37.5kB / 31.4kB","0B / 0B","13"
"2026-09-06T22:00:43.2076946Z","cloud-worker-5","0,12","6,996","6.996MiB / 15.18GiB","9.63kB / 6.89kB","0B / 0B","10"
"2026-09-06T22:00:43.2076946Z","edge-0","3,25","4,98","4.98MiB / 15.18GiB","3.79kB / 778B","0B / 0B","8"
"2026-09-06T22:00:43.2076946Z","edge-1","2,77","7,012","7.012MiB / 15.18GiB","4.67kB / 778B","0B / 0B","9"
"2026-09-06T22:00:43.2076946Z","edge-10","2,96","4,988","4.988MiB / 15.18GiB","4.88kB / 822B","0B / 0B","7"
"2026-09-06T22:00:43.2076946Z","edge-11","3,04","4,984","4.984MiB / 15.18GiB","3.71kB / 780B","0B / 0B","8"
"2026-09-06T22:00:43.2076946Z","edge-12","1,29","5,004","5.004MiB / 15.18GiB","3.83kB / 780B","0B / 0B","9"
"2026-09-06T22:00:43.2076946Z","edge-2","2,16","5,02","5.02MiB / 15.18GiB","4.46kB / 778B","0B / 0B","9"
"2026-09-06T22:00:43.2076946Z","edge-3","3,18","4,965","4.965MiB / 15.18GiB","3.33kB / 778B","0B / 0B","8"
"2026-09-06T22:00:43.2076946Z","edge-4","2,39","5,023","5.023MiB / 15.18GiB","3.16kB / 778B","0B / 0B","9"
"2026-09-06T22:00:43.2076946Z","edge-5","0","7,074","7.074MiB / 15.18GiB","4.08kB / 778B","0B / 0B","11"
"2026-09-06T22:00:43.2076946Z","edge-6","0","5,035","5.035MiB / 15.18GiB","4.29kB / 778B","0B / 0B","10"
"2026-09-06T22:00:43.2076946Z","edge-7","0","7","7MiB / 15.18GiB","3.92kB / 778B","0B / 0B","9"
"2026-09-06T22:00:43.2076946Z","edge-8","0","4,977","4.977MiB / 15.18GiB","3.58kB / 778B","0B / 0B","8"
"2026-09-06T22:00:43.2076946Z","edge-9","2,65","7,047","7.047MiB / 15.18GiB","4.8kB / 778B","0B / 0B","10"
"2026-09-06T22:00:43.2076946Z","global-aggregator","0,14","6,992","6.992MiB / 15.18GiB","9.29kB / 6.76kB","0B / 0B","9"
"2026-09-06T22:00:43.2076946Z","kafka","8,25","328,3","328.3MiB / 15.18GiB","61.3kB / 65.7kB","0B / 0B","120"
