sensor_id;timestamp;pressure;temperature;humidity
59588;2025-01-01T01:11:27;99273.27;1.99;100.00
34664;2025-01-01T01:11:55;100773.50;1.90;92.72
56220;2025-01-01T01:12:09;100172.27;0.06;89.98
56241;2025-01-01T01:12:16;99839.63;1.60;73.25
56789;2025-01-01T01:12:20;100437.83;28.08;31.32
78090;2025-01-01T01:12:33;101333.02;1.72;98.09
80248;2025-01-01T01:12:38;100416.39;3.92;62.55
74975;2025-01-01T01:12:49;99197.56;-1.10;69.42
50614;2025-01-01T01:13:17;100131.50;4.40;73.26
73594;2025-01-01T01:13:28;99346.31;3.13;97.92
59588;2025-01-01T01:14:08;99269.91;2.03;100.00
56241;2025-01-01T01:14:17;99798.13;1.36;73.05
34664;2025-01-01T01:14:22;100768.44;1.87;92.56
78090;2025-01-01T01:14:59;101335.67;1.74;97.93
56789;2025-01-01T01:15:21;100439.53;28.10;31.24
50614;2025-01-01T01:15:44;100122.00;4.65;72.78
74975;2025-01-01T01:15:52;99193.25;-1.11;69.56
73594;2025-01-01T01:15:55;99338.06;3.24;97.34
66742;2025-01-01T01:16:05;101220.91;4.58;86.88
56241;2025-01-01T01:16:18;99841.00;1.66;73.23
59588;2025-01-01T01:16:37;99271.41;2.08;100.00
34664;2025-01-01T01:16:53;100753.28;1.76;93.03
56220;2025-01-01T01:17:11;100160.16;0.03;89.72
80248;2025-01-01T01:17:25;100416.38;3.97;62.73
78090;2025-01-01T01:17:25;101334.17;1.76;98.09
50614;2025-01-01T01:18:10;100123.75;4.58;73.04
56241;2025-01-01T01:18:19;99842.66;1.66;72.70
56789;2025-01-01T01:18:23;100437.79;28.10;31.26
73594;2025-01-01T01:18:23;99338.97;3.07;98.29
74975;2025-01-01T01:19:00;99191.81;-1.15;69.60
59588;2025-01-01T01:19:07;99257.57;2.11;100.00
34664;2025-01-01T01:19:20;100759.59;1.74;93.33
78090;2025-01-01T01:19:50;101324.33;1.78;97.78
56241;2025-01-01T01:20:20;99847.31;1.70;72.63
50614;2025-01-01T01:20:36;100133.22;4.55;72.63
73594;2025-01-01T01:20:50;99359.94;3.35;97.46
66742;2025-01-01T01:21:09;101210.49;4.63;87.32
56789;2025-01-01T01:21:25;100429.16;28.09;31.34
59588;2025-01-01T01:21:36;99259.70;2.14;100.00
