edge_cluster,edge_id,centroid_x_km,centroid_y_km
0,edge-0,3411.397228413234,2157.3819859068617
1,edge-1,3506.489418254999,3274.7735035655523
2,edge-2,4032.0711047742448,3178.356091566252
3,edge-3,4303.389875401708,2859.0245141617543
4,edge-4,4328.907238334009,2422.360584365958
5,edge-5,4461.059172467866,3234.666441444688
6,edge-6,4749.25327986925,4110.268302696127
7,edge-7,4952.229056708468,3199.617518746604
8,edge-8,5002.0418107011765,2712.553085187489
9,edge-9,5466.973281717357,2278.4868979768266
10,edge-10,5680.014559958645,3111.9531294902126
11,edge-11,5977.280066101028,4016.3503624532495
12,edge-12,7004.952777891578,2751.3948531120823
