k,inertia,silhouette,min_sensors,mean_sensors,max_sensors,mean_distance_km,p95_distance_km,max_radius_km,mean_load_eps,max_load_eps,load_cv,max_load_factor
5,656412822.5707285,0.4744566290689244,269,1020.4,1631,264.9344906516254,722.2218745650728,1848.9667796873664,5.741362753882913,9.17977561230584,0.4505607763738899,1.5988844470935946
6,547389370.0834274,0.4868361768983372,51,850.3333333333334,1649,250.42337637116702,645.2058704475452,1820.0251450694147,4.784468961569093,9.253295997610499,0.6635382085082068,1.934027803699207
7,445796448.2584695,0.4947032678106404,51,728.8571428571429,1569,233.1374466008432,547.3919102349496,1592.1373734613114,4.1009733956306516,8.854176747311815,0.7711802710726513,2.15904271818623
8,377945897.5112797,0.4961000470480782,54,637.75,1272,214.63778367674064,544.6988756276323,1530.6812093747421,3.5883517211768194,7.121482601553156,0.6887508501698866,1.9846110846730562
9,328232847.81530845,0.4957193690780936,51,566.8888888888889,1294,202.32363163816146,483.3394834738789,1530.0247095402274,3.189645974379396,7.148425925925919,0.7355947070767026,2.2411345909060567
10,290437407.82592165,0.4967494990768394,51,510.2,1229,185.69978178809416,467.42461773379017,1532.5215306799112,2.870681376941457,6.786106257467138,0.7330503660063082,2.3639357234056178
11,254262970.00274333,0.5036951508556485,50,463.8181818181818,1221,178.2976048295594,437.47170255501555,1132.0076504632593,2.6097103426740516,6.737947281959372,0.8130305802150912,2.5818755329970084
12,226561735.35563856,0.5150809108645813,51,425.1666666666667,1136,166.4822897590399,413.17490232926946,1174.6024264201742,2.392234480784547,6.297404793906804,0.8073820608372769,2.6324362617838086
13,206671743.9213362,0.5209813988314282,51,392.46153846153845,1136,160.57734339075537,388.21477192879047,1166.9655243297104,2.208216443801121,6.297404793906804,0.8716943451589093,2.851805950265792
14,195589835.70665392,0.4910238098098652,51,364.42857142857144,1129,154.86951127993788,377.9381713724218,1053.784478992999,2.050486697815326,6.2663575268817135,0.8657705422109104,3.0560342252198716
15,181087984.28450418,0.4830016014256047,51,340.1333333333333,1070,146.30079431523842,371.25835458788106,1064.8091036378466,1.9137875846276378,5.920130675029864,0.854957494976674,3.0934105344725253
