edge_id,sensors,rows,rows_per_day,natural_events_per_second,load_share_pct,mean_distance_km,p95_distance_km,max_radius_km,centroid_x_km,centroid_y_km,edge_cluster
edge-0,89,1225831,39542.93548387097,0.4576728643966547,1.5943004614614469,384.3013986475342,738.7602280645506,833.3224412644553,3411.397228413234,2157.3819859068617,0
edge-1,203,3298816,106413.41935483871,1.231636798088411,4.290398816049199,226.16693619626298,507.04941049492345,586.497463947703,3506.489418254999,3274.7735035655523,1
edge-2,1136,16866969,544095.7741935484,6.29740479390681,21.936968848198422,101.57785878216646,224.95136023642226,508.9326123401938,4032.0711047742448,3178.356091566252,2
edge-3,838,13482231,434910.67741935485,5.0336883960573475,17.53482095397312,135.6826588293359,264.6556405246534,354.7931382915668,4303.389875401708,2859.0245141617543,3
edge-4,203,2959310,95461.6129032258,1.1048797789725209,3.848841560221168,225.80119881562752,442.6278480918509,1059.0494036768127,4328.907238334009,2422.360584365958,4
edge-5,588,8848788,285444.77419354836,3.3037589605734765,11.508622960077297,175.69086846749795,297.08965262323045,512.6095298525222,4461.059172467866,3234.666441444688,5
edge-6,60,868222,28007.16129032258,0.32415695937873357,1.1291986703313754,311.58417052869544,625.0825537232276,1141.6135054153965,4749.25327986925,4110.268302696127,6
edge-7,568,7760455,250337.25806451612,2.897421968339307,10.09315067709235,180.6989534861027,313.16725234281074,538.191798361168,4952.229056708468,3199.617518746604,7
edge-8,365,6390356,206140.51612903224,2.3858856033452804,8.311217059858109,182.6291152103136,353.73838908223087,490.239645139597,5002.0418107011765,2712.553085187489,8
edge-9,759,11230029,362259.0,4.1928125,14.605635211481378,137.8204169526613,334.2079937686065,1166.9655243297104,5466.973281717357,2278.4868979768266,9
edge-10,71,1036770,33444.1935483871,0.3870855734767025,1.3484100903218994,311.7657142416282,502.74115427465273,516.1370262233512,5680.014559958645,3111.9531294902126,10
edge-11,171,2273943,73353.0,0.8489930555555556,2.9574618150764884,172.0700646937836,585.9102072025089,596.2152028389897,5977.280066101028,4016.3503624532495,11
edge-12,51,646610,20858.387096774193,0.2414165173237754,0.8409728758577538,328.54465987688803,733.2214347437252,737.6115191881872,7004.952777891578,2751.3948531120823,12
