sensor_id,edge_id
12666,edge-6
13968,edge-5
16945,edge-3
19286,edge-2
19600,edge-6
21109,edge-5
21828,edge-3
23241,edge-5
24622,edge-2
26132,edge-6
27425,edge-3
29147,edge-11
29271,edge-6
30105,edge-1
30873,edge-0
31437,edge-6
3150,edge-3
31637,edge-0
32468,edge-10
33025,edge-5
33496,edge-11
34237,edge-4
34664,edge-7
35842,edge-9
35880,edge-9
35892,edge-9
39509,edge-12
40998,edge-4
41254,edge-11
42921,edge-11
43207,edge-1
43814,edge-11
44902,edge-3
45263,edge-1
4570,edge-2
46105,edge-10
46480,edge-4
46768,edge-8
47082,edge-3
48964,edge-8
49907,edge-10
50364,edge-6
50434,edge-0
50614,edge-7
51583,edge-4
52693,edge-1
53715,edge-11
54546,edge-4
54822,edge-8
55592,edge-1
55685,edge-3
55757,edge-12
56076,edge-3
56220,edge-7
56241,edge-7
56668,edge-3
56789,edge-7
58072,edge-8
5812,edge-5
58245,edge-9
58686,edge-1
58835,edge-2
58895,edge-10
59198,edge-11
59361,edge-10
59588,edge-7
59767,edge-6
59831,edge-5
60642,edge-1
6132,edge-9
61337,edge-0
61474,edge-10
62087,edge-2
62851,edge-2
63654,edge-8
64253,edge-1
64302,edge-2
64827,edge-5
65546,edge-11
66196,edge-4
66520,edge-3
66742,edge-7
67954,edge-10
68634,edge-8
68687,edge-5
69219,edge-1
70849,edge-5
71373,edge-8
71476,edge-6
71567,edge-8
71636,edge-4
71697,edge-11
71857,edge-10
73594,edge-7
73806,edge-0
74317,edge-11
74437,edge-10
74893,edge-11
74975,edge-7
76108,edge-5
76374,edge-3
76594,edge-5
76632,edge-1
77263,edge-2
77706,edge-4
78090,edge-7
78100,edge-1
78841,edge-10
79150,edge-4
80248,edge-7
80624,edge-4
80682,edge-12
80869,edge-12
80988,edge-0
81393,edge-8
81686,edge-2
82025,edge-1
82349,edge-9
82556,edge-5
83029,edge-3
83037,edge-0
83100,edge-2
83130,edge-12
83152,edge-6
83422,edge-12
83701,edge-0
83912,edge-4
84320,edge-12
84665,edge-12
84710,edge-9
84848,edge-12
85623,edge-9
86012,edge-9
86078,edge-6
86306,edge-9
87561,edge-0
87565,edge-10
87871,edge-6
88748,edge-8
89112,edge-2
89802,edge-8
89981,edge-9
90264,edge-0
90463,edge-0
90668,edge-2
91051,edge-7
91131,edge-8
91308,edge-12
91318,edge-9
91424,edge-12
