edge_id,sensor_count,row_count,size_mb,first_timestamp,last_timestamp
edge-0,11,124410,9.725452,2025-01-01 01:11:24+00:00,2025-01-29 23:59:51+00:00
edge-1,12,171649,13.217312,2025-01-01 01:11:16+00:00,2025-01-29 23:59:21+00:00
edge-2,12,189420,14.621046,2025-01-01 01:11:26+00:00,2025-01-29 23:59:39+00:00
edge-3,12,145178,11.179873,2025-01-01 01:11:33+00:00,2025-01-29 23:59:55+00:00
edge-4,11,133862,10.434099,2025-01-01 01:11:43+00:00,2025-01-29 23:59:45+00:00
edge-5,12,145501,11.090107,2025-01-01 01:11:30+00:00,2025-01-29 23:59:46+00:00
edge-6,11,160171,12.454851,2025-01-01 01:11:35+00:00,2025-01-29 23:59:48+00:00
edge-7,12,149836,11.562966,2025-01-01 01:11:27+00:00,2025-01-29 23:59:45+00:00
edge-8,12,221171,16.688299,2025-01-01 01:11:30+00:00,2025-01-29 23:59:58+00:00
edge-9,12,155365,12.176824,2025-01-01 01:11:55+00:00,2025-01-29 23:59:46+00:00
edge-10,11,167737,13.002518,2025-01-01 01:11:26+00:00,2025-01-29 23:59:49+00:00
edge-11,11,196973,15.31061,2025-01-01 01:11:24+00:00,2025-01-29 23:59:46+00:00
edge-12,11,145511,11.867035,2025-01-01 01:11:26+00:00,2025-01-29 23:59:57+00:00
